Layer Title, Color, Specimen ID
Layer 1, Blue, Untitled

Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,450 ms,2,1

Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data
345.59109,1683.4303125,100%
345.807512991978,1673.19046875,100%
346.023924626503,3014.61,100%
346.240324901463,3702.31790625,100%
346.456713814747,4344.9705,100%
346.673091364243,4894.23571875,100%
346.889457547838,4846.72284375,0%
347.10581236342,4879.49034375,0%
347.322155808879,4732.85578125,0%
347.5384878821,4708.28015625,0%
347.754808580973,4777.5015,0%
347.971117903386,4810.269,0%
348.187415847227,4705.82259375,0%
348.403702410383,4733.67496875,0%
348.619977590742,4688.61965625,100%
348.836241386194,4691.89640625,100%
349.052493794625,4754.97384375,100%
349.268734813924,4741.45725,100%
349.484964441978,4840.16934375,100%
349.701182676677,4925.36484375,100%
349.917389515907,4947.48290625,100%
350.133584957557,4874.165625,100%
350.349768999515,4899.15084375,100%
350.565941639668,4924.95525,100%
350.782102875906,4913.07703125,100%
350.998252706115,4926.18403125,100%
351.214391128184,4879.49034375,100%
351.430518140002,4877.03278125,100%
351.646633739455,4839.35015625,100%
351.862737924432,5024.0769375,100%
352.078830692821,4978.2024375,100%
352.29491204251,5120.7410625,100%
352.510981971387,5208.394125,100%
352.72704047734,5189.14321875,100%
352.943087558258,4943.38696875,100%
353.159123212027,4976.97365625,100%
353.375147436536,5010.15075,100%
353.591160229674,4945.84453125,100%
353.807161589328,4964.27625,100%
354.023151513386,5100.261375,100%
354.239129999736,5169.8923125,100%
354.455097046266,5044.96621875,100%
354.671052650865,5014.2466875,100%
354.886996811419,4947.48290625,100%
355.102929525818,4856.55309375,100%
355.31885079195,4786.10296875,100%
355.534760607701,4765.62328125,100%
355.750658970961,4815.59371875,100%
355.966545879618,4920.8593125,100%
356.182421331558,4984.34634375,100%
356.398285324671,4992.128625,100%
356.614137856845,5050.70053125,100%
356.829978925967,5086.3351875,100%
357.045808529925,4985.575125,100%
357.261626666608,4913.486625,100%
357.477433333903,4979.021625,100%
357.693228529699,4983.52715625,100%
357.909012251883,4902.8371875,100%
358.124784498344,4961.8186875,100%
358.34054526697,5034.726375,100%
358.556294555648,4938.47184375,100%
358.772032362267,4978.2024375,100%
358.987758684714,4925.7744375,100%
359.203473520878,4967.553,100%
359.419176868647,4970.82975,100%
359.634868725908,4937.2430625,100%
359.85054909055,4932.73753125,100%
360.066217960461,5053.5676875,100%
360.281875333528,5003.18765625,100%
360.497521207641,4962.637875,100%
360.713155580686,5026.12490625,100%
360.928778450552,4994.99578125,100%
361.144389815127,4968.78178125,100%
361.359989672298,5035.13596875,100%
361.575578019955,5069.9514375,100%
361.791154855984,5103.12853125,100%
362.006720178275,5034.726375,100%
362.222273984714,5060.53078125,100%
362.43781627319,5003.59725,100%
362.653347041591,4946.66371875,100%
362.868866287805,4938.06225,100%
363.084374009721,4957.31315625,100%
363.299870205225,4955.67478125,100%
363.515354872206,4936.01428125,100%
363.730828008553,4950.3500625,100%
363.946289612152,4951.9884375,100%
364.161739680893,5036.36475,100%
364.377178212663,4982.70796875,100%
364.592605205349,5004.82603125,100%
364.808020656841,5060.53078125,100%
365.023424565027,4985.575125,100%
365.238816927793,4972.87771875,100%
365.454197743029,5036.77434375,100%
365.669567008622,5014.65628125,100%
365.88492472246,4989.6710625,100%
366.100270882432,5023.25775,100%
366.315605486425,5034.726375,100%
366.530928532327,4964.68584375,100%
366.746240018027,4970.82975,100%
366.961539941412,4912.25784375,100%
367.17682830037,4940.5198125,88.888888888889%
367.39210509279,4851.228375,74.2442563482466%
367.607370316559,4890.13978125,80.8416389811736%
367.822623969566,4900.78921875,69.7530864197532%
368.037866049698,5002.7780625,68.9621726479145%
368.253096554844,5008.92196875,61.1159546643418%
368.468315482891,5027.3536875,60.2739726027398%
368.683522831728,5034.31678125,56.5490196078433%
368.898718599242,5025.30571875,58.6256263421617%
369.113902783322,4947.0733125,56.6282420749281%
369.329075381855,4930.6895625,49.8197548666188%
369.544236392731,4890.13978125,45.2380952380954%
369.759385813835,4886.4534375,36.5150544522741%
369.974523643058,4875.804,34.0922708208508%
370.189649878286,4842.2173125,31.0187820147979%
370.404764517408,4895.87409375,38.1351200446677%
370.619867558311,4910.209875,35.3228431904505%
370.834958998885,4899.97003125,38.4773662551441%
371.050038837016,4995.81496875,38.0857427716849%
371.265107070593,5058.07321875,40.8349328214971%
371.480163697503,4999.09171875,35.3818346136466%
371.695208715636,4983.93675,34.0277777777777%
371.910242122878,4948.7116875,30.9707903780069%
372.125263917118,4867.20253125,27.9474130619168%
372.340274096245,4824.1951875,27.4246128769355%
372.555272658145,4793.47565625,27.165514436763%
372.770259600706,4789.37971875,27.3983739837399%
372.985234921818,4800.43875,26.8225039619651%
373.200198619368,4808.630625,30.1701323251418%
373.415150691244,4757.43140625,25.2490421455939%
373.630091135334,4759.88896875,23.9313116550968%
373.845019949526,4834.43503125,28.494623655914%
374.059937131708,4823.78559375,27.1642808452624%
374.274842679768,4822.96640625,23.2582322357019%
374.489736591594,4904.88515625,24.1290322580646%
374.704618865074,4960.58990625,23.0059327620304%
374.919489498096,4914.71540625,23.5332043842683%
375.134348488549,4903.24678125,29.9900365327133%
375.349195834319,4943.7965625,31.6672041277007%
375.564031533296,4951.57884375,29.8028733711995%
375.778855583367,4902.018,30.3410553410554%
375.993667982421,5006.46440625,26.1499684940139%
376.208468728344,5001.1396875,20.8899876390606%
376.423257819026,4974.51609375,19.421747328724%
376.638035252354,5029.81125,25.4562326012992%
376.852801026216,5050.70053125,27.9048207663782%
377.067555138501,4947.8925,26.4263322884012%
377.282297587096,5035.13596875,26.9205729166667%
377.49702836989,5032.2688125,27.7812895069533%
377.711747484769,4907.7523125,23.7362637362638%
377.926454929624,4949.94046875,20.7446808510639%
378.141150702341,5044.14703125,22.8254164096237%
378.355834800808,5022.4385625,21.0334346504559%
378.570507222913,5050.70053125,21.8559218559218%
378.785167966545,5088.79275,20.7558859975217%
378.999817029592,5025.30571875,21.3511000929656%
379.214454409941,4990.49025,20.5207687538748%
379.429080105481,4948.30209375,21.1614472484037%
379.643694114099,4955.67478125,19.3026151930262%
379.858296433684,5086.74478125,22.3771983020012%
380.072887062124,5103.94771875,22.9210765043846%
380.287465997306,5095.75584375,24.2378959952181%
380.502033237118,5117.05471875,24.3931675157327%
380.71658877945,5024.48653125,25.6290228203627%
380.931132622188,4885.63425,23.1988472622478%
381.145664763221,4903.24678125,20.5807002561912%
381.360185200437,4898.74125,18.5439954141588%
381.574693931723,4997.8629375,19.8823858863064%
381.789190954968,5071.18021875,17.362887183859%
382.00367626806,5038.8223125,20.1909575961809%
382.218149868887,5042.0990625,21.9084178777077%
382.432611755336,5028.172875,21.3486140724947%
382.647061925297,4927.4128125,20.9724047306176%
382.861500376656,4875.39440625,20.7700101317122%
383.075927107303,4971.6489375,19.519595448799%
383.290342115124,4898.33165625,21.5086646279307%
383.504745398008,4893.41653125,20.6449974606399%
383.719136953843,4863.5161875,20.2309236947791%
383.933516780517,4895.05490625,21.3650564768085%
384.147884875918,4833.61584375,20.135799578553%
384.362241237934,4905.29475,17.6484123331799%
384.576585864453,4964.27625,19.6265836852634%
384.790918753363,4989.6710625,19.3483597411293%
385.005239902552,4928.232,16.0153602891349%
385.219549309909,5065.8555,17.7943760984183%
385.43384697332,5045.78540625,18.013216798124%
385.648132890675,4965.914625,16.1569289179497%
385.86240705986,5062.57875,15.7615353205389%
386.076669478765,5091.2503125,17.8145829125429%
386.290920145277,4998.27253125,15.987963891675%
386.505159057285,4988.851875,13.6220472440945%
386.719386212675,4988.44228125,12.8341194968554%
386.933601609337,4868.84090625,10.7452013549115%
387.147805245158,4927.82240625,10.0348559897266%
387.361997118027,4888.911,9.542530378842%
387.576177225831,4948.30209375,10.280042538107%
387.790345566458,4924.54565625,10.1671549198691%
388.004502137796,4960.1803125,11.9104579630895%
388.218646937734,4897.51246875,11.6107931316435%
388.432779964159,4943.7965625,12.0284927958556%
388.64690121496,4888.0918125,12.0025070510812%
388.861010688024,4922.08809375,11.1042566317088%
389.07510838124,4912.25784375,10.3219981944026%
389.289194292495,4909.80028125,10.6656694091249%
389.503268419677,4865.56415625,9.35189212701173%
389.717330760675,4893.41653125,9.5752137950371%
389.931381313377,4936.01428125,10.7274969173859%
390.14542007567,4952.39803125,10.885633651391%
390.359447045443,5079.7816875,11.2084750196181%
390.573462220584,5129.34253125,11.8979432439469%
390.78746559898,5092.47909375,11.6403464085583%
391.001457178519,5014.65628125,11.3892675672326%
391.215436957091,5013.83709375,10.7474352711285%
391.429404932582,4918.40175,9.81787480400434%
391.64336110288,4797.9811875,9.23856698537034%
391.857305465875,4784.8741875,8.7105624142661%
392.071238019453,4834.43503125,8.76440027106393%
392.285158761503,4776.27271875,8.78730722290028%
392.499067689913,4777.91109375,8.40099599437045%
392.71296480257,4818.05128125,8.15100815100816%
392.926850097364,4847.54203125,8.48097284830693%
393.140723572181,4822.5568125,7.0668153705769%
393.35458522491,4872.52725,6.65092483274303%
